mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.9820523262023926,0.04811119560762299,0.35798875490824383,0.16345265360147063,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7890295358649789,0.7805907172995781,0.7823103925114351,0.00493622162993427,12
2.483853578567505,0.1565640311646658,0.3178115685780843,0.026624028580108577,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7890295358649789,0.8016877637130801,0.7893427413159356,0.009954267002431313,11
1.4646402994791667,0.08789618612742348,0.4514164129892985,0.07034115030352141,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8067226890756303,0.8185654008438819,0.8143459915611815,0.8132113604935646,0.004900884018975372,10
2.4577645460764566,0.14615932288442257,0.28831179936726886,0.015166152892475498,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8067226890756303,0.8185654008438819,0.8185654008438819,0.8146178302544648,0.0055827078659789475,9
1.3059459527333577,0.016852227146684114,0.38559778531392414,0.17642361980066137,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8151260504201681,0.8312236286919831,0.8143459915611815,0.8202318902244442,0.007778854194115017,6
2.99183456103007,0.02756162716528261,0.4702149232228597,0.2520139758642591,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,3
2.433222770690918,0.21818782949337523,1.1500558853149414,0.35594091621139995,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.819327731092437,0.8185654008438819,0.8270042194092827,0.8216324504485338,0.00381114271382519,4
4.1558559735616045,0.3870297279881556,0.7821420828501383,0.39066325434701166,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.819327731092437,0.8185654008438819,0.8396624472573839,0.8258518597312342,0.009770517990875967,2
2.2087032000223794,0.11489827862260023,0.45710086822509766,0.37038179657519793,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.8319327731092437,0.8143459915611815,0.8396624472573839,0.828647070642603,0.010593319051141362,1
2.6198038260142007,0.13832412253718984,0.3862760066986084,0.047165419551780295,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.819327731092437,0.8143459915611815,0.8312236286919831,0.8216324504485338,0.007080369917950562,4
1.7233792146046956,0.1283842909311341,0.805462121963501,0.2635062417893176,7,100,"{'clf__max_depth': 7, 'clf__n_estimators': 100}",0.8235294117647058,0.8059071729957806,0.8185654008438819,0.8160006618681228,0.007419309910298756,8
2.915180206298828,0.3900415735414731,0.22614971796671549,0.034041537000329344,7,200,"{'clf__max_depth': 7, 'clf__n_estimators': 200}",0.8235294117647058,0.7974683544303798,0.8354430379746836,0.8188136013899231,0.015857664775342045,7
