mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5855908870697022,0.03246089710123009,0.09563999176025391,0.008094786702182085,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.8251748251748252,0.8041958041958042,0.7535211267605634,0.7676056338028169,0.8309859154929577,0.7962966610853934,0.030830538683947396,14
0.9757646083831787,0.029793935417540857,0.11684775352478027,0.00522329683866583,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.8251748251748252,0.8321678321678322,0.7535211267605634,0.7746478873239436,0.8309859154929577,0.8032995173840245,0.03279405253337023,13
1.4059453010559082,0.01420621969852178,0.12882895469665528,0.005533624008013046,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.8041958041958042,0.8041958041958042,0.7535211267605634,0.7676056338028169,0.8309859154929577,0.7921008568895893,0.027903529576621112,15
1.849782657623291,0.06651603602788647,0.15772361755371095,0.022246985783715693,2,400,"{'clf__max_depth': 2, 'clf__n_estimators': 400}",0.8041958041958042,0.8041958041958042,0.7535211267605634,0.7676056338028169,0.8309859154929577,0.7921008568895893,0.027903529576621112,15
0.6939007759094238,0.12694653639589767,0.12348270416259766,0.018563127629836796,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8251748251748252,0.8321678321678322,0.8169014084507042,0.7746478873239436,0.8380281690140845,0.8173840244262779,0.02250354899127896,11
1.22550368309021,0.04644914347210397,0.11186084747314454,0.010416175831540796,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8251748251748252,0.8321678321678322,0.8028169014084507,0.7746478873239436,0.8309859154929577,0.813158672313602,0.02197079640476501,12
1.510497808456421,0.05021877934064615,0.1290961742401123,0.018184083406272693,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8321678321678322,0.8321678321678322,0.8169014084507042,0.7887323943661971,0.8380281690140845,0.8215995272333301,0.017863925392471978,8
1.8824377059936523,0.08098930251777552,0.1506969928741455,0.009767275675159382,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.8321678321678322,0.8321678321678322,0.8028169014084507,0.7887323943661971,0.8380281690140845,0.8187826258248794,0.019424928299461647,10
0.6430311679840088,0.04945500388512244,0.0950101375579834,0.011355520411006308,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8251748251748252,0.8391608391608392,0.8169014084507042,0.7887323943661971,0.8380281690140845,0.8215995272333301,0.018403279304230073,8
1.2255430698394776,0.08206654452034098,0.12068195343017578,0.012035641573077452,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8321678321678322,0.8461538461538461,0.8169014084507042,0.795774647887324,0.8450704225352113,0.8272136314389835,0.018957280692560603,4
1.9777610778808594,0.5103729201277941,0.28596906661987304,0.17540348462626862,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8251748251748252,0.8461538461538461,0.8169014084507042,0.7887323943661971,0.8380281690140845,0.8229981286319316,0.019890389224053947,7
2.953207588195801,0.29384630937643114,0.3002490520477295,0.09110731034480513,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.8321678321678322,0.8461538461538461,0.8169014084507042,0.795774647887324,0.8380281690140845,0.8258051807347581,0.017804847789635522,5
0.8690980911254883,0.08432183788101548,0.2846245765686035,0.12099322645067878,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8251748251748252,0.8531468531468531,0.8169014084507042,0.8028169014084507,0.823943661971831,0.8243967300305328,0.01642710644554566,6
2.3125163555145263,0.2834596069078052,0.5496857166290283,0.10083817973055288,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8531468531468531,0.8531468531468531,0.8169014084507042,0.795774647887324,0.852112676056338,0.8342164877376146,0.023725842649656024,1
2.668368673324585,0.4860462329764162,0.2987080097198486,0.06671219025268992,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.8251748251748252,0.8461538461538461,0.8169014084507042,0.8169014084507042,0.8450704225352113,0.8300403821530582,0.013072755949719017,2
3.0244119644165037,0.1471293415330269,0.27689332962036134,0.09026754551776169,5,400,"{'clf__max_depth': 5, 'clf__n_estimators': 400}",0.8391608391608392,0.8531468531468531,0.8169014084507042,0.795774647887324,0.8450704225352113,0.8300108342361863,0.020927315456269687,3
