mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.945582628250122,0.02347649293205829,0.18316260973612467,0.025358702711931136,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7974683544303798,0.810126582278481,0.7949686203595362,0.013513039475865551,10
2.74163818359375,0.3924400244286212,0.5235749880472819,0.13646373569707482,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7890295358649789,0.810126582278481,0.792155680837736,0.013578081302569215,11
3.2165966033935547,0.24687940303287595,0.3984404404958089,0.07434065725347279,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7890295358649789,0.810126582278481,0.792155680837736,0.013578081302569215,11
1.2616220315297444,0.2352880878168058,0.2774510383605957,0.04870492738239214,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8151260504201681,0.8227848101265823,0.810126582278481,0.8160124809417438,0.005205574087187554,7
2.5197763442993164,0.056090046549634766,1.0217960675557454,0.07631931048490764,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8151260504201681,0.8185654008438819,0.8143459915611815,0.8160124809417438,0.0018330617330794385,7
3.9216840267181396,0.10524660687927671,0.4516785939534505,0.1046965831854916,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8109243697478992,0.8185654008438819,0.810126582278481,0.813205450956754,0.0038040253509479065,9
1.7054728666941326,0.16907715197017462,0.5299315452575684,0.19652580759460309,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.819327731092437,0.8354430379746836,0.8227848101265823,0.8258518597312343,0.006927282965939481,2
2.574388106664022,0.0335813014481513,0.48319538434346515,0.043859305750157854,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.819327731092437,0.8312236286919831,0.8185654008438819,0.823038920209434,0.005795824736261964,5
3.710752248764038,0.2545676050393332,0.5145766735076904,0.15453703720026082,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,3
1.7165795962015789,0.16292491454130772,0.4759909311930339,0.14045598487128158,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.819327731092437,0.8227848101265823,0.8270042194092827,0.823038920209434,0.0031390600684836107,5
2.9020258585611978,0.047618437236201815,0.27668944994608563,0.016610810719607672,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.819327731092437,0.8227848101265823,0.8312236286919831,0.8244453899703341,0.004996414647046275,3
3.1632138888041177,0.6420390132092186,0.2436374028523763,0.027292688738524768,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.8235294117647058,0.8312236286919831,0.8354430379746836,0.8300653594771242,0.004932194443878195,1
